No.,B03[O-O],nR10,B08[N-Br],C-026,B09[N-Br],MaxssssC,PIC50
3,1,1,0,1,0,0,8.27572413
32,0,0,0,2,0,0.0760110454,7.903089987
72,0,0,0,1,0,0.1020911648,7.455931956
75,0,0,0,1,0,0.1030379424,7.455931956
90,1,1,0,1,0,0,7.080921908
91,1,1,0,1,0,0,7.040958608
96,1,1,0,1,0,0,6.690369833
98,1,0,0,2,0,0,6.510041521
99,1,0,0,2,0,0,6.010105436
17,0,0,0,3,0,0.1146994945,7.903089987
42,0,0,0,2,0,0,7.886056648
45,0,0,0,1,0,0,7.769551079
48,0,0,0,2,0,0,7.744727495
50,0,0,0,2,0,0,7.721246399
51,0,0,0,2,0,0,7.698970004
57,0,0,0,2,0,0,7.537602002
59,0,0,0,1,0,0,7.537602002
60,0,0,0,1,0,0,7.522878745
76,0,0,0,2,0,0.1095594814,7.455931956
79,0,0,0,1,0,0,7.397940009
81,0,0,0,1,0,0,7.356547324
84,0,0,0,1,0,0,7.26760624
85,0,0,0,2,0,0,7.259637311
86,0,0,0,2,1,0,7.167491087
88,0,0,0,2,1,0,7.102372909
89,0,0,0,1,0,-4.437598412,7.091514981
93,0,0,0,1,0,-4.437598412,7.008773924
9,0,0,0,2,0,0.2469327374,7.903089987
10,0,0,0,2,0,0.2858216263,7.903089987
11,0,0,0,2,0,0.05243633966,7.903089987
13,0,0,0,2,0,-0.01429398441,7.903089987
14,0,0,0,2,0,0.08720592382,7.903089987
15,0,0,0,2,0,0.08729315982,7.903089987
18,0,0,0,2,0,0.1172511545,7.903089987
19,0,0,0,2,0,0.08054384852,7.903089987
20,0,0,0,2,0,-0.1340584337,7.903089987
22,0,0,0,1,0,0.2050242618,7.903089987
23,0,0,1,1,0,0.1399159789,7.903089987
24,0,0,1,1,0,-0.03912808121,7.903089987
26,0,0,1,2,0,0.3309593673,7.903089987
27,0,0,1,2,0,0.09477881179,7.903089987
28,0,0,0,3,0,0.2563257415,7.903089987
30,0,0,0,3,0,0.07834536962,7.903089987
31,0,0,0,2,0,0.1586206643,7.903089987
33,0,0,0,2,0,0.08785677543,7.903089987
35,0,0,0,2,0,-0.1417293924,7.903089987
36,0,0,0,3,0,0.2711026602,7.903089987
37,0,0,1,2,0,0.1306815896,7.903089987
39,0,0,1,2,0,0.1537094878,7.903089987
40,0,0,1,2,0,0.1369056469,7.903089987
41,0,0,1,2,0,0.3773668952,7.903089987
63,0,0,1,2,0,0.088894673,7.455931956
64,0,0,0,2,0,0.02465949651,7.455931956
65,0,0,0,2,0,0.1403567754,7.455931956
67,0,0,0,2,0,0.1014678865,7.455931956
68,0,0,0,2,0,0.1267456643,7.455931956
69,0,0,0,2,0,0.08785677543,7.455931956
71,0,0,0,2,0,0.3067456643,7.455931956
74,0,0,0,2,0,0.104171242,7.455931956
77,0,0,0,2,0,0.04840427093,7.455931956
2,0,0,1,2,0,0,8.301029996
4,0,0,1,2,0,0,8.22184875
6,0,0,1,2,0,0,8.070581074
7,0,0,1,2,0,0,8.045757491
8,0,0,1,2,0,0,8
44,0,0,0,2,0,0,7.795880017
53,0,0,1,1,0,0,7.677780705
54,0,0,0,2,0,0,7.638272164
58,0,0,1,1,0,0,7.537602002
94,1,0,1,2,0,0,7
46,0,0,0,1,0,0,7.769551079
49,0,0,0,0,0,0,7.721246399
55,0,0,0,2,0,0,7.619788758
82,0,0,0,1,0,0,7.337242168
92,0,0,0,0,0,0,7.040958608
100,1,0,0,1,0,0,5.530030791
,,,,,,,
,,,,,,,
,,,,,,,
73,0,0,0,2,0,0.0760110454,7.455931956
95,1,1,0,1,0,0,6.910094889
47,0,0,0,1,0,0,7.744727495
52,0,0,0,2,0,0,7.677780705
61,0,0,0,2,0,0,7.494850022
83,0,0,0,1,0,0,7.283996656
87,0,0,0,1,0,0,7.148741651
97,0,0,0,1,0,0,6.679853714
12,0,0,0,2,0,0.1004918952,7.903089987
16,0,0,0,3,0,0.009080923819,7.903089987
21,0,0,0,2,0,0.1063582329,7.903089987
25,0,0,1,2,0,0.2920704785,7.903089987
29,0,0,0,3,0,0.2952146304,7.903089987
34,0,0,0,2,0,0.1014678865,7.903089987
38,0,0,1,1,0,-0.008062671222,7.903089987
62,0,0,0,1,0,0.1680014035,7.455931956
66,0,0,0,1,0,0.001612514637,7.455931956
70,0,0,0,1,0,0.1680014035,7.455931956
78,0,0,0,1,0,0.1470773655,7.455931956
5,0,0,1,2,0,0,8.15490196
43,0,0,1,2,0,0,7.853871964
56,1,0,1,2,0,0,7.552841969
80,0,0,0,2,0,0,7.356547324
101,1,0,0,1,0,0,5.360015752